Sun Mar  5 22:17:58 2023    output.dat

         154435388 function calls (149192969 primitive calls) in 851.703 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52272    0.075    0.000    2.505    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/optimizer.py:162(<listcomp>)
   248152    0.071    0.000    0.071    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:1180(to_radians)
    37201    0.068    0.000    0.448    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2307(any)
    17424    0.066    0.000    0.668    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:91(<listcomp>)
    36834    0.065    0.000    0.238    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:26(asarray)
    52934    0.062    0.000    0.191    0.000 <__array_function__ internals>:177(empty_like)
    52272    0.058    0.000    0.658    0.000 <__array_function__ internals>:177(ones_like)
   257074    0.057    0.000    0.057    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:34(tshift)
    35498    0.057    0.000    0.328    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2677(amax)
      330    0.056    0.000  848.709    2.572 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/udp_initial_condition.py:56(fitness)
    52998    0.053    0.000    0.229    0.000 <__array_function__ internals>:177(copyto)
    17424    0.053    0.000    0.053    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:251(logical_not)
   227167    0.050    0.000    0.050    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/lib/function_base.py:866(_copy_dispatcher)
   223881    0.049    0.000    0.049    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1961(_shape_dispatcher)
    37201    0.045    0.000    0.586    0.000 <__array_function__ internals>:177(any)
    17424    0.045    0.000    0.668    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:90(<listcomp>)
    35498    0.043    0.000    0.417    0.000 <__array_function__ internals>:177(amax)
    17424    0.039    0.000    0.039    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:129(<listcomp>)
    30916    0.035    0.000    0.106    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    19151    0.035    0.000    0.147    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyvista/plotting/colors.py:799(convert_color_channel)
   112522    0.031    0.000    0.031    0.000 {method 'setdefault' of 'dict' objects}
    17424    0.031    0.000    0.041    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:78(<listcomp>)
